Tree_Size,Runtime
12150,0.000264
27939,0.000577
32056,0.000533
31743,0.000746
3526,0.000065
23925,0.000575
1185,0.000025
16635,0.000306
12449,0.000257
12606,0.000469
10922,0.000224
4453,0.000097
20961,0.000357
22001,0.000367
7202,0.000133
15029,0.000295
22019,0.000445
24971,0.000442
29394,0.000544
24340,0.000500
26702,0.000499
17771,0.000408
5241,0.000108
1751,0.000034
7900,0.000154
24915,0.000496
28936,0.001508
14369,0.000328
1608,0.000034
16723,0.000377
19969,0.000412
21751,0.000475
24048,0.000598
26662,0.000565
30324,0.000692
12925,0.000301
6591,0.000139
15079,0.000300
25035,0.000541
7435,0.000152
4829,0.000091
698,0.000015
4362,0.000081
11650,0.000198
20042,0.000487
10769,0.000199
22281,0.000497
14707,0.000280
25319,0.000593
27030,0.000611
14258,0.000273
1670,0.000030
30673,0.000726
8742,0.000176
8406,0.000180
14241,0.000257
480,0.000008
28814,0.000530
22705,0.000481
1622,0.000030
26122,0.000626
10868,0.000255
18891,0.000311
10555,0.000234
25113,0.000455
3987,0.000091
20250,0.000328
16757,0.000327
8727,0.000152
19274,0.000324
15719,0.000306
21606,0.000372
16312,0.000284
17550,0.000294
14023,0.000288
24489,0.000427
24052,0.000394
6315,0.000105
13245,0.000217
10580,0.000171
25319,0.000412
31094,0.000648
20596,0.000365
23524,0.000533
14650,0.000318
27426,0.000459
30891,0.000516
10983,0.000178
4043,0.000068
16812,0.000266
29570,0.000510
12108,0.000190
31672,0.000541
23928,0.000400
344,0.000005
15435,0.000249
10940,0.000187
240,0.000004
8953,0.000148
30943,0.000542
19381,0.000337
11102,0.000173
31725,0.000604
2116,0.000033
21122,0.000374
2820,0.000044
23820,0.000424
359,0.000006
2540,0.000039
20821,0.000364
4956,0.000083
23174,0.000432
19787,0.000331
22844,0.000393
31196,0.000541
26999,0.000478
4979,0.000083
3708,0.000058
31719,0.000565
28059,0.000460
9564,0.000154
3863,0.000057
19608,0.000315
32438,0.000555
4940,0.000074
9749,0.000159
28109,0.000761
10678,0.000279
32574,0.000617
18329,0.000469
2406,0.000046
23932,0.000553
28953,0.000518
23208,0.000726
11704,0.000427
1712,0.000051
24048,0.000503
5867,0.000097
25748,0.000858
4386,0.000128
10713,0.000402
9765,0.000218
17494,0.000363
25441,0.000450
9596,0.000164
22847,0.000374
6183,0.000098
24229,0.000400
2000,0.000032
5856,0.000097
8951,0.000145
11499,0.000192
14750,0.000246
15493,0.000262
14245,0.000223
3530,0.000055
20550,0.000395
290,0.000005
11141,0.000224
3831,0.000068
17628,0.000417
21645,0.000503
29699,0.000532
3887,0.000077
22254,0.000420
24388,0.000843
15212,0.000380
27482,0.000552
15840,0.000321
26668,0.000917
21384,0.000620
7851,0.000158
5845,0.000120
31484,0.000672
4245,0.000076
15639,0.000316
11430,0.000263
17284,0.000367
26676,0.000709
25648,0.000645
20505,0.000456
5639,0.000124
12088,0.000268
16823,0.000355
