Test Case,Array Size,Kth Smallest Element Position,Runtime
1897,9347,624,0.000020
1902,8743,848,0.000019
1916,834,290,0.000012
1918,28785,545,0.000019
1920,5104,684,0.000021
1921,3232,320,0.000021
1925,8727,826,0.000021
1927,11382,42,0.000023
1932,1459,723,0.000015
1933,5471,981,0.000019
1961,19951,264,0.000020
1968,5364,686,0.000019
1977,8901,60,0.000023
1989,24957,924,0.000022
1991,6197,718,0.000027
2005,20591,30,0.000023
2023,4287,695,0.000018
2032,12953,730,0.000020
2034,2426,572,0.000017
2056,20344,566,0.000020
2062,10245,556,0.000020
2069,8979,103,0.000019
2070,1770,635,0.000020
2072,32456,277,0.000020
2080,773,164,0.000010
2106,22045,467,0.000023
2116,16435,643,0.000020
2121,14668,542,0.000019
2127,2017,480,0.000016
2136,2528,663,0.000019
2140,2851,609,0.000018
2146,8430,115,0.000022
2154,347,750,0.000005
2155,29146,99,0.000020
2164,26055,994,0.000020
2174,11260,287,0.000020
2181,916,923,0.000011
2183,22660,22,0.000019
2191,912,977,0.000011
2211,4760,389,0.000018
2224,5865,65,0.000019
2243,7287,941,0.000019
2245,13099,853,0.000024
2250,22205,563,0.000018
2259,238,486,0.000003
2280,25237,280,0.000018
2295,10561,934,0.000019
2297,1465,573,0.000015
2335,3468,823,0.000023
2340,1110,677,0.000013
2346,2668,899,0.000016
2353,29387,330,0.000019
2354,1183,294,0.000014
2355,933,409,0.000012
2361,16950,261,0.000018
2362,5902,98,0.000020
2363,8519,293,0.000019
2367,29389,377,0.000007
2385,9381,105,0.000019
2392,7885,560,0.000023
2394,3834,197,0.000021
2396,21147,253,0.000019
2397,23264,246,0.000018
2404,26340,842,0.000025
2405,29639,52,0.000019
2406,14664,438,0.000018
2418,11422,534,0.000019
2420,3407,5,0.000018
2434,2669,531,0.000017
2444,1158,257,0.000013
2450,7843,287,0.000019
2451,9446,162,0.000018
2460,10097,184,0.000019
2473,2156,286,0.000016
2498,1109,739,0.000013
2506,136,834,0.000002
2508,4834,328,0.000018
2515,6776,632,0.000019
2527,18868,831,0.000019
2543,1422,701,0.000014
2545,4691,112,0.000018
2548,5401,310,0.000019
2559,4694,897,0.000017
2574,451,658,0.000008
2588,809,864,0.000010
2589,12082,874,0.000019
2603,14544,621,0.000019
2612,25339,79,0.000019
2617,19712,318,0.000019
2618,14566,484,0.000019
2621,34,40,0.000001
2622,384,196,0.000006
2634,4899,420,0.000018
2635,5624,510,0.000019
2638,2035,717,0.000016
2642,30895,940,0.000019
2648,4844,305,0.000018
2652,7873,247,0.000023
2663,4294,585,0.000017
2686,4586,309,0.000018
2688,104,477,0.000001
2690,807,41,0.000010
2696,2263,225,0.000017
2707,2926,882,0.000017
2729,10765,127,0.000018
2737,27193,910,0.000019
2745,30348,973,0.000019
2746,2280,893,0.000018
