Test Case,Array Size,Kth Smallest Element Position,Runtime
25853,3612,508,0.000031
25870,1432,226,0.000014
25878,3105,775,0.000033
25921,721,366,0.000009
25928,86,323,0.000001
25935,9054,340,0.000021
25946,5434,518,0.000025
25954,3644,356,0.000018
25963,2230,939,0.000017
25967,350,280,0.000017
25984,8907,987,0.000019
25987,2337,809,0.000020
25988,3451,325,0.000019
25989,24054,289,0.000020
25993,3498,691,0.000020
25998,5441,182,0.000025
26004,744,810,0.000010
26012,1522,257,0.000022
26024,9512,62,0.000019
26026,28864,700,0.000021
26027,25814,461,0.000020
26028,29247,768,0.000021
26038,5106,501,0.000022
26039,2626,345,0.000018
26041,5095,29,0.000019
26062,7769,836,0.000023
26067,2639,365,0.000019
26075,1474,433,0.000029
26077,4528,279,0.000019
26086,6520,433,0.000023
26090,1456,306,0.000018
26104,2208,915,0.000027
26107,27127,543,0.000023
26109,1874,34,0.000021
26120,6411,966,0.000024
26121,863,295,0.000011
26137,26352,362,0.000019
26144,458,303,0.000007
26146,14460,773,0.000020
26151,6832,268,0.000019
26153,1669,762,0.000021
26154,4020,997,0.000019
26156,30215,44,0.000019
26162,2779,921,0.000018
26163,3580,445,0.000019
26167,21,723,0.000000
26171,4444,781,0.000033
26172,106,752,0.000002
26182,1229,850,0.000012
26189,10657,733,0.000024
26190,56,964,0.000001
26192,20705,550,0.000023
26221,13868,682,0.000024
26225,4089,962,0.000019
26234,749,120,0.000029
26237,5452,306,0.000020
26239,6734,291,0.000020
26246,31356,258,0.000024
26248,11187,545,0.000019
26279,17493,662,0.000021
26290,7656,596,0.000021
26313,5949,489,0.000021
26317,863,516,0.000010
26324,88,368,0.000001
26326,1977,459,0.000014
26330,3679,7,0.000021
26333,5480,860,0.000019
26334,9466,573,0.000021
26351,19548,763,0.000030
26359,795,220,0.000010
26364,5162,799,0.000019
26408,400,817,0.000006
26420,11588,802,0.000019
26421,3613,978,0.000023
26427,18794,175,0.000026
26432,14365,400,0.000024
26444,29428,537,0.000025
26445,9311,370,0.000024
26449,1182,950,0.000018
26458,1002,559,0.000018
26461,15635,225,0.000032
26470,3048,142,0.000028
26475,18206,614,0.000025
26479,31892,646,0.000036
26483,13497,128,0.000025
26491,1105,907,0.000014
26492,10164,427,0.000021
26495,24291,102,0.000025
26497,31980,734,0.000041
26512,4460,630,0.000036
26515,10762,822,0.000076
26520,10209,324,0.000020
26524,7788,710,0.000021
26525,4457,307,0.000021
26527,3640,519,0.000019
26528,1431,604,0.000015
26532,6097,80,0.000020
26533,934,933,0.000012
26558,32327,966,0.000019
26562,7394,474,0.000026
26568,8779,102,0.000019
26573,15975,765,0.000020
26577,14494,55,0.000024
26604,15324,712,0.000011
26609,439,703,0.000004
26628,519,870,0.000005
26630,15848,340,0.000014
26632,630,898,0.000012
26648,3754,607,0.000011
26666,4327,471,0.000010
26671,10249,455,0.000010
26675,5225,376,0.000010
26693,5698,927,0.000010
26699,4925,539,0.000010
26703,2890,291,0.000010
26704,25093,345,0.000011
26706,32489,60,0.000011
26715,601,221,0.000004
26719,2449,985,0.000010
26733,4628,146,0.000010
26748,11171,583,0.000010
26749,32269,231,0.000010
26766,149,706,0.000001
26767,18235,38,0.000010
26771,11014,150,0.000012
26780,8387,463,0.000010
26798,31443,471,0.000011
26802,9632,739,0.000013
26811,5503,371,0.000010
26817,1209,613,0.000007
26833,16848,229,0.000010
26841,7454,390,0.000011
26849,3373,796,0.000010
26858,2135,371,0.000009
26863,3998,490,0.000010
26870,1380,328,0.000008
26873,1499,706,0.000008
26878,2893,534,0.000010
26899,6879,957,0.000029
26909,6318,830,0.000018
26916,28156,195,0.000020
26920,4362,762,0.000017
26922,1474,485,0.000014
26929,71,178,0.000001
26930,3732,64,0.000020
26931,14658,530,0.000027
26935,5262,1,0.000019
26938,7015,504,0.000019
26946,2515,890,0.000016
26957,989,785,0.000014
26959,11826,147,0.000019
26963,1079,444,0.000014
26965,644,877,0.000030
26982,10256,406,0.000023
26984,5025,555,0.000021
26993,25137,650,0.000023
26994,2490,557,0.000027
27002,21731,835,0.000048
27016,22707,263,0.000019
27017,2888,663,0.000024
27027,19416,10,0.000024
27034,15605,822,0.000022
27051,6491,566,0.000019
27056,6059,742,0.000018
27059,8714,923,0.000021
27078,1202,622,0.000013
27084,4167,122,0.000020
27098,2832,394,0.000023
27124,27214,694,0.000021
27127,1528,747,0.000017
27132,1224,442,0.000017
27133,12582,513,0.000020
27136,18360,787,0.000037
27143,31940,828,0.000020
27169,662,882,0.000010
27172,13892,964,0.000019
27191,62,513,0.000001
27202,696,440,0.000009
27206,20501,175,0.000019
27209,5512,142,0.000024
27225,3312,755,0.000019
27229,25277,695,0.000019
27230,190,999,0.000003
27232,13733,696,0.000023
27233,25240,36,0.000020
27235,30816,214,0.000020
27238,93,278,0.000002
27245,17497,325,0.000020
27250,1516,220,0.000015
27254,7442,185,0.000020
27267,728,77,0.000009
27292,2367,466,0.000018
27300,3648,318,0.000019
27304,3116,107,0.000026
27306,15,144,0.000000
27308,92,891,0.000002
27318,27422,751,0.000019
27330,3281,633,0.000032
27340,704,181,0.000011
27351,886,653,0.000011
27371,1189,893,0.000013
27375,21459,648,0.000021
27376,3147,702,0.000019
27393,25731,900,0.000020
27403,11214,58,0.000021
27404,5463,90,0.000023
27409,6620,304,0.000020
27410,70,159,0.000001
27412,1602,689,0.000015
27413,13,941,0.000000
27416,30341,759,0.000021
27420,1841,132,0.000016
27449,24567,158,0.000025
27450,7084,965,0.000019
27452,2620,798,0.000021
27454,956,562,0.000012
27457,21961,855,0.000022
27473,63,572,0.000001
27474,1488,166,0.000016
27483,988,908,0.000014
27486,1073,831,0.000014
27491,3786,484,0.000029
27497,30894,624,0.000019
27498,1190,595,0.000013
27500,1141,499,0.000013
27502,4197,97,0.000019
27503,6282,103,0.000019
27509,1064,674,0.000015
27514,10867,838,0.000019
27515,1815,591,0.000016
27519,2627,102,0.000017
27530,18269,700,0.000020
27534,3868,259,0.000022
27540,930,12,0.000012
27542,27795,397,0.000019
27550,1176,782,0.000014
27554,156,630,0.000003
27560,28466,801,0.000025
27586,1601,680,0.000017
27614,3268,818,0.000019
27621,1272,592,0.000017
27627,3224,833,0.000019
27633,1232,65,0.000015
27647,19347,663,0.000020
27669,7761,644,0.000019
27674,9149,429,0.000018
27686,39,398,0.000001
27700,10228,379,0.000019
27702,27839,432,0.000019
27716,12003,497,0.000022
27718,8544,164,0.000024
27721,15059,944,0.000018
27731,5625,152,0.000018
27732,31594,168,0.000025
27738,15642,363,0.000021
27740,790,375,0.000013
27747,5626,483,0.000020
27752,657,776,0.000009
27754,30306,736,0.000023
27770,21126,328,0.000020
27771,1702,341,0.000015
27773,350,544,0.000005
27774,1623,460,0.000015
27775,28612,283,0.000019
27776,12801,285,0.000018
27796,3003,236,0.000017
27839,7288,937,0.000022
27842,13327,865,0.000018
27856,25747,844,0.000016
27857,2278,667,0.000017
27860,486,269,0.000007
27864,51,960,0.000001
27871,24494,334,0.000019
27877,27123,482,0.000019
27878,5266,210,0.000082
27879,662,251,0.000008
27880,3421,900,0.000023
27895,27989,407,0.000026
27900,7836,227,0.000025
27902,31741,799,0.000023
27909,22809,279,0.000022
27932,13339,539,0.000019
27935,229,293,0.000004
27936,17492,194,0.000018
27941,4229,320,0.000018
27943,921,244,0.000012
27948,1739,628,0.000016
27952,8549,172,0.000019
27961,3172,370,0.000019
27965,14835,508,0.000020
27966,6728,103,0.000019
27969,793,62,0.000011
27971,2652,940,0.000018
27972,1316,993,0.000015
27985,11116,191,0.000019
28000,2659,390,0.000017
28001,120,331,0.000002
28002,8404,88,0.000024
28017,311,379,0.000005
28020,28543,318,0.000020
28021,47,125,0.000001
28023,28757,215,0.000023
28024,5888,483,0.000024
28030,26959,453,0.000027
28034,27456,845,0.000020
28043,2641,525,0.000018
28046,3528,568,0.000019
28061,495,345,0.000007
28067,3619,405,0.000019
28068,902,334,0.000011
28074,9473,490,0.000019
28078,16274,58,0.000023
28082,630,976,0.000009
28083,129,238,0.000002
28095,9530,914,0.000098
28102,25703,265,0.000020
28130,6982,308,0.000019
28145,738,214,0.000011
28155,6016,226,0.000029
28161,28583,12,0.000023
28166,3615,328,0.000024
28172,29769,478,0.000023
28174,22114,967,0.000021
28191,10114,914,0.000021
28193,2244,961,0.000020
28201,5021,69,0.000023
28204,15881,455,0.000041
28209,3526,679,0.000023
28210,3389,8,0.000022
28221,5508,43,0.000026
28226,16137,83,0.000022
28227,28576,499,0.000024
28229,4097,946,0.000027
28234,14455,642,0.000023
28246,4903,12,0.000021
28252,19737,58,0.000018
28261,14369,350,0.000018
28273,5879,22,0.000019
28275,24806,265,0.000019
28278,5705,829,0.000023
28294,13101,744,0.000018
28301,2809,151,0.000018
28304,3306,425,0.000018
28312,10238,629,0.000019
28336,691,762,0.000009
28380,18829,507,0.000019
28381,5473,788,0.000057
28387,8163,397,0.000022
28391,10238,155,0.000019
28406,1258,768,0.000015
28424,597,520,0.000009
28428,30014,420,0.000019
28431,5570,311,0.000018
28432,11879,782,0.000019
28440,18159,213,0.000018
28444,9452,580,0.000019
28445,8563,352,0.000019
28450,6009,546,0.000018
28463,1953,334,0.000017
28465,496,39,0.000007
28477,994,782,0.000011
28478,2820,911,0.000018
28492,1652,1,0.000016
28495,2572,843,0.000022
28503,1192,9,0.000013
28505,9657,493,0.000019
28506,62,878,0.000001
28512,2355,580,0.000021
28514,9002,680,0.000020
28519,13707,451,0.000019
28520,1030,883,0.000012
28524,1152,712,0.000013
28527,32085,128,0.000019
28542,9394,380,0.000019
28544,4967,45,0.000019
28545,22298,677,0.000018
28553,784,654,0.000010
28555,6315,533,0.000019
28563,7690,186,0.000019
28568,21239,55,0.000027
28575,2243,988,0.000017
28584,328,182,0.000005
28590,1760,549,0.000015
28593,439,119,0.000006
28607,5437,55,0.000019
28614,17761,317,0.000019
28622,23043,989,0.000019
28625,1274,646,0.000014
28627,28896,764,0.000020
28628,2905,341,0.000020
28640,330,789,0.000005
28646,29763,12,0.000019
28659,17351,394,0.000021
28677,28482,384,0.000024
28681,1542,147,0.000015
28684,25496,743,0.000019
28687,1289,38,0.000013
28688,7919,661,0.000018
28700,24563,386,0.000019
28706,21959,159,0.000019
28710,5622,280,0.000019
28714,7177,615,0.000019
28723,12681,867,0.000019
28730,2023,857,0.000016
28746,3071,472,0.000022
28754,130,248,0.000002
28757,28440,406,0.000020
28759,1194,284,0.000014
28781,19896,253,0.000020
28782,10271,853,0.000019
28785,22124,601,0.000034
28793,6692,128,0.000023
28795,62,307,0.000001
28808,24101,658,0.000019
28812,1045,377,0.000012
28814,1686,349,0.000015
28815,5868,609,0.000019
28827,31607,877,0.000019
28840,13894,37,0.000019
28848,1882,288,0.000016
28853,2899,636,0.000018
28858,2594,648,0.000019
28868,138,618,0.000003
28877,31478,511,0.000027
28879,876,793,0.000014
28880,3754,355,0.000022
28893,1201,202,0.000015
28897,5914,575,0.000019
28906,30041,888,0.000019
28908,10369,887,0.000019
28910,1252,296,0.000013
28918,1226,779,0.000015
28923,223,395,0.000005
28924,13742,271,0.000022
28928,1965,939,0.000022
28929,4077,352,0.000021
28930,29313,659,0.000020
28933,29358,985,0.000020
28934,31626,778,0.000026
28935,20090,408,0.000020
28942,3911,328,0.000024
28958,18197,898,0.000023
28965,2411,311,0.000023
28967,777,113,0.000010
28985,15788,585,0.000019
28996,9770,179,0.000019
28999,1898,930,0.000017
29006,1257,491,0.000016
29007,8537,649,0.000020
29017,15016,496,0.000028
29018,2385,922,0.000024
29025,15220,635,0.000024
29031,4528,110,0.000021
29035,22422,526,0.000020
29040,11169,735,0.000019
29047,3151,711,0.000028
29049,11681,914,0.000019
29074,16823,496,0.000024
29081,5746,538,0.000036
29095,9094,577,0.000019
29107,23750,767,0.000025
29112,15354,759,0.000019
29137,358,133,0.000006
29138,45,696,0.000001
29145,2705,548,0.000018
29146,2023,705,0.000016
29147,679,870,0.000009
29151,10510,748,0.000020
29154,2391,367,0.000018
29160,1003,926,0.000012
29166,13148,566,0.000019
29187,1120,644,0.000013
29198,1174,907,0.000016
29205,21043,232,0.000018
29218,1903,61,0.000016
29226,7742,491,0.000019
29244,5737,96,0.000018
29245,28113,353,0.000019
29246,15492,544,0.000019
29257,31342,909,0.000023
29268,15600,70,0.000025
29275,27999,826,0.000019
29285,6802,238,0.000035
29288,14557,42,0.000022
29291,514,472,0.000010
29297,1,686,0.000000
29306,8092,575,0.000023
29311,15483,938,0.000018
29318,4408,380,0.000018
29321,9489,770,0.000019
29327,8184,462,0.000020
29333,1905,131,0.000017
29337,22265,469,0.000024
29339,12532,844,0.000025
29348,10100,378,0.000026
29355,24527,398,0.000024
29366,9078,57,0.000024
29372,877,627,0.000015
29380,1406,132,0.000021
29382,805,951,0.000012
29383,32743,227,0.000023
29384,25839,397,0.000022
29387,7946,579,0.000022
29410,30427,846,0.000022
29416,13462,547,0.000020
29418,8170,189,0.000022
29439,320,363,0.000005
29442,15948,655,0.000019
29463,1266,248,0.000015
29482,17284,272,0.000028
29483,17547,514,0.000034
29484,434,432,0.000010
29487,23835,427,0.000035
29497,1642,691,0.000019
29507,644,675,0.000021
29512,27141,370,0.000045
29516,21316,337,0.000045
29522,12609,598,0.000033
29524,28820,984,0.000041
29527,25701,195,0.000023
29536,917,875,0.000025
29538,868,276,0.000020
29544,18449,716,0.000035
29554,31730,24,0.000030
29560,18759,326,0.000035
29582,1348,370,0.000025
29583,22315,640,0.000035
29590,2103,716,0.000030
29595,292,890,0.000008
29598,928,922,0.000021
29601,2983,277,0.000032
29619,27793,994,0.000033
29626,5134,588,0.000034
29632,24280,634,0.000033
29633,702,517,0.000017
29637,28095,569,0.000035
29645,10164,508,0.000027
29673,9429,569,0.000033
29700,13387,219,0.000035
29702,51,477,0.000000
29709,31067,604,0.000035
29714,4102,841,0.000033
29736,632,714,0.000027
29741,2640,444,0.000020
29751,669,677,0.000015
29753,9469,319,0.000044
29755,683,116,0.000016
29756,5056,295,0.000035
29762,1573,748,0.000034
29766,13701,160,0.000035
29769,15122,223,0.000035
29780,6631,355,0.000033
29804,1301,159,0.000018
29814,3624,844,0.000024
29823,2789,140,0.000032
29830,2227,626,0.000020
29848,2972,283,0.000032
29849,1068,855,0.000019
29868,4988,66,0.000022
29878,6,641,0.000000
29895,30934,824,0.000031
29905,6786,316,0.000033
29918,938,592,0.000014
29920,2509,302,0.000031
29921,5029,55,0.000062
29925,4141,508,0.000034
29943,393,307,0.000011
29947,349,861,0.000010
29949,2342,441,0.000030
29980,2316,734,0.000030
29982,7640,252,0.000044
29983,2742,127,0.000039
29992,7331,842,0.000040
29994,17937,588,0.000025
29996,9040,678,0.000034
30004,1267,624,0.000025
30005,15709,112,0.000030
30006,631,735,0.000015
30033,1312,109,0.000017
30034,22491,913,0.000030
30035,3411,925,0.000024
30044,1090,932,0.000020
30059,10823,133,0.000035
30069,10545,245,0.000034
30070,3646,256,0.000032
30079,510,841,0.000010
30081,13096,436,0.000023
30083,5336,974,0.000053
30084,6250,436,0.000036
30085,1776,466,0.000020
30095,4633,920,0.000033
30099,2937,749,0.000032
30114,1166,970,0.000023
30118,1778,308,0.000037
30140,2060,601,0.000029
30164,621,466,0.000016
30167,25130,279,0.000041
30169,3764,363,0.000022
30170,23178,833,0.000035
30189,682,352,0.000011
30198,316,311,0.000008
30203,452,498,0.000012
30216,1355,79,0.000025
30219,15202,713,0.000034
30227,5679,505,0.000033
30229,2089,208,0.000031
30232,893,661,0.000020
30251,172,709,0.000003
30253,2111,362,0.000030
30261,771,671,0.000017
30264,14964,121,0.000033
30272,4276,622,0.000032
30292,27790,169,0.000034
30296,29807,231,0.000035
30302,430,152,0.000011
30308,26727,111,0.000035
30320,958,792,0.000022
30321,1567,211,0.000040
30325,12555,758,0.000034
30328,2777,626,0.000032
30333,3263,531,0.000034
30335,1151,914,0.000023
30336,2289,114,0.000031
30340,6199,408,0.000036
30341,25578,824,0.000044
30342,27361,36,0.000021
30353,2863,354,0.000034
30373,1615,336,0.000028
30374,571,417,0.000013
30386,1255,46,0.000025
30394,23175,236,0.000040
30402,336,696,0.000008
30412,3988,727,0.000033
30421,3186,514,0.000033
30437,11324,801,0.000034
30440,6327,888,0.000034
30449,1005,95,0.000021
30459,1768,669,0.000029
30464,316,454,0.000008
30477,708,947,0.000016
30484,846,523,0.000020
30490,30702,634,0.000035
30495,5948,859,0.000023
30515,6491,452,0.000033
30519,22717,451,0.000035
30521,1888,800,0.000082
30529,4416,369,0.000034
30531,4132,26,0.000032
30548,2709,233,0.000019
30550,7167,535,0.000026
30551,1838,347,0.000017
30555,5112,533,0.000036
30566,6252,404,0.000035
30568,20463,700,0.000034
30576,3624,416,0.000034
30583,1362,199,0.000047
30585,2367,697,0.000030
30588,820,925,0.000014
30589,31532,849,0.000024
30591,405,84,0.000008
30604,22303,806,0.000029
30609,9072,477,0.000034
30614,105,30,0.000002
30637,7005,196,0.000036
30653,237,211,0.000006
30666,472,208,0.000025
30669,6268,357,0.000024
30679,872,329,0.000025
30697,1648,187,0.000064
30701,4265,986,0.000040
30702,27,91,0.000001
30706,1257,153,0.000028
30709,1978,336,0.000023
30711,8412,473,0.000025
30713,2843,225,0.000022
30721,323,94,0.000009
30725,13808,681,0.000035
30731,8204,867,0.000037
30754,9481,281,0.000061
30756,138,669,0.000006
30760,26283,589,0.000043
30765,64,1,0.000003
30772,1884,54,0.000019
30779,463,794,0.000013
30802,2640,490,0.000033
30806,6919,113,0.000022
30813,20545,132,0.000122
30826,419,219,0.000008
30833,6091,752,0.000023
30836,27727,947,0.000035
30849,8961,219,0.000025
30857,1139,715,0.000024
30858,59,102,0.000002
30872,3698,402,0.000036
30876,29213,8,0.000035
30877,9824,289,0.000033
30880,4322,258,0.000036
30883,22256,734,0.000022
30888,2400,915,0.000022
30908,14624,267,0.000038
30914,2912,366,0.000037
30921,276,271,0.000008
30923,35,543,0.000001
30929,379,297,0.000010
30938,2375,927,0.000023
30954,22970,808,0.000028
30963,14696,157,0.000035
30988,717,8,0.000013
30995,1625,544,0.000026
31002,1168,461,0.000023
31003,13469,918,0.000034
31012,5454,412,0.000026
31013,2317,622,0.000030
31022,4140,801,0.000026
31043,14701,255,0.000031
31046,8282,728,0.000023
31070,3417,876,0.000040
31075,11177,432,0.000038
31076,21991,941,0.000034
31080,21930,390,0.000066
31089,24481,2,0.000031
31095,1456,873,0.000025
31097,3533,696,0.000030
31104,8872,405,0.000034
31108,1735,127,0.000021
31115,2595,880,0.000043
31123,5475,722,0.000044
31129,5381,597,0.000056
31143,24684,311,0.000044
31148,20179,879,0.000049
31149,7087,522,0.000026
31152,917,854,0.000016
31156,10887,757,0.000023
31161,3167,678,0.000024
31162,31010,556,0.000046
31166,5737,184,0.000034
31192,360,153,0.000011
31194,619,275,0.000018
31203,14689,205,0.000036
31208,959,950,0.000020
31220,8358,893,0.000023
31224,3443,551,0.000034
31227,16630,799,0.000035
31229,19748,951,0.000034
31231,1614,469,0.000026
31239,281,513,0.000010
31243,6321,735,0.000040
31244,2655,488,0.000036
31248,4017,13,0.000034
31251,6038,655,0.000038
31252,7499,316,0.000026
31260,2257,635,0.000031
31268,1619,946,0.000029
31274,3218,218,0.000022
31275,18332,636,0.000035
31278,3085,800,0.000019
31279,1076,348,0.000023
31280,18083,134,0.000035
31289,4989,331,0.000024
31293,1984,478,0.000019
31299,2959,646,0.000022
31309,22684,658,0.000035
31315,22371,27,0.000033
31318,15432,359,0.000034
31324,11798,137,0.000060
31330,29200,114,0.000020
31346,6192,681,0.000034
31354,21666,428,0.000019
31356,2330,557,0.000031
31359,25343,563,0.000023
31360,3865,695,0.000033
31362,7146,565,0.000035
31363,26497,590,0.000033
31364,3535,32,0.000022
31367,19156,55,0.000024
31379,8523,561,0.000619
31380,1651,295,0.000016
31388,3215,751,0.000033
31399,617,654,0.000016
31429,31678,446,0.000034
31430,7136,662,0.000045
31435,25574,666,0.000021
31436,1465,321,0.000025
31443,864,427,0.000018
31446,2560,656,0.000041
31448,3811,868,0.000022
31456,5471,877,0.000034
31460,10003,412,0.000038
31464,951,134,0.000018
31465,7439,519,0.000034
31481,25473,860,0.000035
31483,3115,817,0.000033
31496,620,358,0.000019
31507,108,877,0.000003
31529,9580,682,0.000034
31534,1898,26,0.000040
31543,1686,504,0.000027
31548,4135,247,0.000033
31551,3212,377,0.000034
31557,952,798,0.000020
31560,15054,374,0.000033
31570,22044,805,0.000034
31581,3262,646,0.000032
31583,15632,450,0.000036
31585,8228,79,0.000036
31607,1282,289,0.000024
31613,21277,15,0.000034
31614,30877,251,0.000034
31616,1006,72,0.000021
31640,3856,913,0.000034
31653,2623,76,0.000033
31689,1436,10,0.000025
31692,18820,142,0.000034
31701,4418,366,0.000033
31708,9325,748,0.000034
31713,766,731,0.000019
31715,6087,733,0.000032
31720,10312,794,0.000034
31721,12775,710,0.000034
31723,5911,828,0.000034
31726,1538,377,0.000027
31728,8087,223,0.000033
31729,956,346,0.000020
31751,4991,705,0.000034
31754,17625,322,0.000034
31761,2256,264,0.000026
31771,4313,194,0.000042
31781,12297,208,0.000038
31788,2208,26,0.000031
31791,441,834,0.000009
31804,16621,742,0.000035
31807,29839,284,0.000035
31812,26703,122,0.000033
31836,843,414,0.000019
31838,94,25,0.000003
31839,1497,649,0.000026
31847,1380,356,0.000025
31865,2947,976,0.000033
31878,9044,508,0.000034
31882,2113,489,0.000029
31886,3228,227,0.000032
31888,12948,299,0.000041
31891,1964,262,0.000029
31893,2838,756,0.000032
31902,521,667,0.000013
31905,3828,230,0.000049
31911,8979,822,0.000033
31915,1550,948,0.000027
31918,4077,798,0.000033
31921,31489,320,0.000034
31927,11353,990,0.000034
31935,8018,491,0.000034
31939,18047,40,0.000022
31941,9844,21,0.000033
31952,2838,368,0.000032
31954,9857,56,0.000034
31957,6940,125,0.000036
31959,6359,711,0.000032
31970,2220,906,0.000030
31974,16021,782,0.000034
31996,1990,625,0.000029
32006,27027,543,0.000035
32019,22766,794,0.000034
32022,28982,36,0.000034
32025,2821,378,0.000033
32030,7204,913,0.000021
32042,23375,726,0.000026
32045,21108,956,0.000031
32046,1438,459,0.000024
32059,5756,148,0.000060
32064,4542,5,0.000040
32077,16289,389,0.000034
32079,24208,890,0.000034
32083,6254,416,0.000033
32086,46,94,0.000001
32096,6376,902,0.000035
32097,677,503,0.000016
32101,3512,816,0.000033
32137,4038,239,0.000039
32139,4930,303,0.000032
32146,1150,181,0.000023
32147,15779,530,0.000035
32156,22670,827,0.000034
32159,2,146,0.000000
32164,402,987,0.000011
32165,3626,744,0.000034
32172,1133,460,0.000037
32191,3077,729,0.000033
32196,17886,658,0.000035
32205,24614,415,0.000035
32213,8657,506,0.000035
32231,21736,831,0.000028
32243,2751,860,0.000031
32244,2289,103,0.000030
32252,931,982,0.000020
32279,17535,626,0.000034
32282,4554,829,0.000034
32290,3766,918,0.000033
32295,538,387,0.000013
32310,23212,31,0.000040
32313,9194,895,0.000034
32322,2319,462,0.000030
32339,980,702,0.000021
32346,488,527,0.000011
32347,10226,199,0.000034
32350,4094,397,0.000034
32354,8104,627,0.000034
32357,3223,808,0.000034
32362,7580,737,0.000034
32364,24126,47,0.000035
32390,2460,657,0.000031
32397,1597,617,0.000025
32433,67,574,0.000002
32442,4559,350,0.000034
32445,1859,110,0.000029
32448,4785,258,0.000034
32453,4332,154,0.000033
32463,26593,617,0.000035
32464,32022,287,0.000033
32486,19470,166,0.000040
32487,30043,703,0.000040
32493,12314,619,0.000035
32501,341,417,0.000009
32503,6234,362,0.000040
32526,13180,859,0.000034
32545,9145,671,0.000034
32551,23014,358,0.000033
32554,32071,572,0.000034
32555,2072,377,0.000029
32556,5527,109,0.000033
32559,9055,664,0.000034
32563,19114,612,0.000032
32566,26322,759,0.000033
32576,402,445,0.000007
32580,4994,754,0.000032
32582,3446,493,0.000033
32588,539,750,0.000013
32596,1489,656,0.000026
32599,20346,828,0.000032
32607,20930,953,0.000036
32610,18943,178,0.000032
32617,70,585,0.000002
32626,1779,410,0.000028
32639,7411,393,0.000035
32646,1605,433,0.000028
32648,887,382,0.000029
32651,3230,663,0.000018
32652,20904,575,0.000020
32671,1000,614,0.000021
32685,32277,4,0.000044
32693,6794,410,0.000058
32700,9507,767,0.000033
32702,2696,551,0.000032
32704,20379,981,0.000032
32705,2503,512,0.000031
32714,950,742,0.000020
32719,2296,512,0.000030
32722,22,95,0.000001
32727,3653,44,0.000033
32734,15980,461,0.000034
32738,339,576,0.000009
32739,135,815,0.000004
32750,1216,67,0.000024
32753,9914,537,0.000024
32759,18897,911,0.000021
32765,956,524,0.000019
32771,4506,62,0.000033
32774,1408,387,0.000025
32775,11330,668,0.000034
32784,249,476,0.000009
32787,28587,579,0.000056
32789,16855,811,0.000035
32796,420,187,0.000011
32808,573,330,0.000015
32813,16377,550,0.000034
32814,849,80,0.000019
32827,15547,87,0.000034
32829,22354,249,0.000034
32838,18086,95,0.000034
32857,4789,463,0.000033
32862,226,833,0.000006
32863,5705,77,0.000030
32865,9650,581,0.000043
32868,32709,475,0.000040
32869,3884,526,0.000034
32901,2823,720,0.000030
32902,2507,432,0.000031
32903,5374,150,0.000034
32915,1411,927,0.000025
32923,3462,419,0.000032
32938,122,126,0.000004
32939,628,913,0.000015
32943,2141,347,0.000030
32947,9943,688,0.000033
32948,4796,641,0.000034
32954,2284,579,0.000030
32963,3642,548,0.000045
32970,2720,79,0.000032
32973,28256,896,0.000033
32988,1556,522,0.000027
32989,873,128,0.000020
32997,136,580,0.000004
33006,392,564,0.000010
33011,2573,747,0.000032
33019,202,660,0.000006
33036,463,447,0.000012
33037,2877,105,0.000033
33042,629,184,0.000015
33043,1355,867,0.000025
33050,8853,976,0.000034
33059,1539,881,0.000027
33074,18913,818,0.000035
33082,3755,988,0.000043
33085,457,269,0.000014
33097,5107,52,0.000032
33111,7081,892,0.000034
33115,18157,94,0.000035
33122,617,12,0.000016
33127,4270,610,0.000021
33141,13944,339,0.000033
33144,494,920,0.000013
33147,485,60,0.000012
33150,8930,403,0.000033
33152,11096,770,0.000034
33159,861,82,0.000019
33168,26617,415,0.000033
33171,11790,977,0.000021
33173,7900,544,0.000031
33176,17214,601,0.000034
33180,22488,642,0.000029
33192,11499,104,0.000032
33203,24042,773,0.000025
33207,465,75,0.000013
33209,6945,608,0.000034
33214,1095,821,0.000022
33227,4681,432,0.000035
33231,1207,843,0.000024
33249,16240,131,0.000034
33254,3369,649,0.000034
33258,25832,163,0.000034
33261,17936,628,0.000035
33270,20597,279,0.000032
33280,957,103,0.000021
33298,22340,417,0.000034
33302,9043,297,0.000032
33306,4487,786,0.000035
33310,11181,634,0.000035
33325,6523,770,0.000033
33328,1270,797,0.000026
33334,25150,683,0.000034
33340,106,889,0.000003
33342,12134,718,0.000034
33348,14542,317,0.000034
33352,4938,573,0.000034
33356,1307,452,0.000025
33357,6367,587,0.000034
33358,13962,829,0.000034
33380,951,584,0.000021
33402,637,507,0.000015
33407,22446,537,0.000039
33412,6935,988,0.000033
33413,3333,474,0.000034
33420,793,330,0.000018
33424,10516,673,0.000033
33425,6983,231,0.000034
33427,1336,40,0.000026
33439,22996,76,0.000035
33440,811,880,0.000019
33451,29879,316,0.000037
33455,429,777,0.000012
33460,6857,239,0.000035
33462,14914,467,0.000034
33463,1622,22,0.000026
33469,3181,449,0.000033
33481,523,363,0.000014
33492,2729,975,0.000031
33498,2843,906,0.000031
33499,46,421,0.000001
33503,11349,588,0.000033
33512,13040,799,0.000035
33523,3596,543,0.000032
33528,6591,493,0.000034
33530,9798,788,0.000033
33539,2434,255,0.000029
33540,27277,160,0.000033
33553,25812,191,0.000034
33558,5012,884,0.000034
33559,2619,340,0.000030
33565,2019,312,0.000030
